ic,rank_ic,t_stat,n_samples,group_backtest,factor,period
-0.0058685080061810935,-0.012954793377831366,-2.7242738138273177,215494,"  group  mean_return  std_return  count
0    Q1     0.000002    0.002148  43099
1    Q2     0.000003    0.001205  43099
2    Q3     0.000001    0.001065  43098
3    Q4     0.000007    0.001227  43099
4    Q5     0.000011    0.001771  43099",momentum_8h,1
-0.006110385720627084,-0.01909185528193057,-2.8365424461243185,215491,"  group  mean_return  std_return  count
0    Q1     0.000006    0.004031  43099
1    Q2     0.000005    0.002461  43098
2    Q3     0.000018    0.002140  43098
3    Q4     0.000025    0.002477  43098
4    Q5     0.000043    0.003489  43098",momentum_8h,4
-0.005771329142632739,-0.021449848380623533,-2.679116493816544,215487,"  group  mean_return  std_return  count
0    Q1     0.000023    0.005539  43098
1    Q2    -0.000024    0.003561  43097
2    Q3     0.000036    0.003055  43097
3    Q4     0.000084    0.003540  43097
4    Q5     0.000076    0.004907  43098",momentum_8h,8
0.007699325253209524,0.0025187855471065445,3.5726259975879646,215302,"  group  mean_return  std_return  count
0    Q1     0.000007    0.000835  43061
1    Q2    -0.000000    0.001130  43060
2    Q3    -0.000003    0.001320  43060
3    Q4     0.000001    0.001566  43060
4    Q5     0.000020    0.002383  43061",volatility_24h,1
0.01379557853747697,0.008296539557827531,6.40177252251518,215299,"  group  mean_return  std_return  count
0    Q1     0.000027    0.001693  43060
1    Q2     0.000004    0.002266  43060
2    Q3    -0.000016    0.002624  43059
3    Q4    -0.000000    0.003173  43060
4    Q5     0.000079    0.004499  43060",volatility_24h,4
0.01813195197233068,0.012352000416101228,8.414550428562185,215295,"  group  mean_return  std_return  count
0    Q1     0.000057    0.002441  43059
1    Q2     0.000003    0.003189  43059
2    Q3    -0.000039    0.003760  43059
3    Q4     0.000024    0.004453  43059
4    Q5     0.000140    0.006260  43059",volatility_24h,8
0.0004142403873653698,-0.0014132187600234259,0.19229547293561094,215495,"  group  mean_return  std_return  count
0    Q1     0.000003    0.001162  43099
1    Q2     0.000005    0.001214  43099
2    Q3     0.000004    0.001351  43099
3    Q4     0.000006    0.001526  43099
4    Q5     0.000007    0.002205  43099",volume_surge,1
0.0009112062731883319,0.000431881966287121,0.422990332713225,215492,"  group  mean_return  std_return  count
0    Q1     0.000022    0.002403  43099
1    Q2     0.000013    0.002523  43098
2    Q3     0.000028    0.002770  43098
3    Q4     0.000009    0.003006  43098
4    Q5     0.000025    0.004042  43099",volume_surge,4
0.0011403578765977235,-0.0014561509107485738,0.5293598258912224,215488,"  group  mean_return  std_return  count
0    Q1     0.000063    0.003600  43098
1    Q2     0.000018    0.003647  43097
2    Q3     0.000028    0.003932  43098
3    Q4     0.000033    0.004231  43097
4    Q5     0.000052    0.005449  43098",volume_surge,8
-0.004726106278331085,-0.007677637196790179,-2.194327709993547,215571,"  group  mean_return  std_return  count
0    Q1     0.000020    0.001752  43115
1    Q2    -0.000001    0.001565  43114
2    Q3     0.000010    0.001672  43114
3    Q4     0.000000    0.001458  43114
4    Q5    -0.000005    0.001184  43114",sma_20,1
-0.009639769883672286,-0.012793205857084421,-4.475864986749592,215568,"  group  mean_return  std_return  count
0    Q1     0.000084    0.003407  43114
1    Q2    -0.000007    0.003061  43113
2    Q3     0.000040    0.003333  43114
3    Q4    -0.000002    0.002832  43113
4    Q5    -0.000018    0.002252  43114",sma_20,4
-0.013718270240266738,-0.01561527431720239,-6.369807752524095,215564,"  group  mean_return  std_return  count
0    Q1     0.000168    0.004813  43113
1    Q2    -0.000013    0.004294  43113
2    Q3     0.000078    0.004705  43112
3    Q4    -0.000005    0.003954  43113
4    Q5    -0.000034    0.003145  43113",sma_20,8
-0.004795292777612301,-0.007815693488388637,-2.226549800944356,215590,"  group  mean_return  std_return  count
0    Q1     0.000021    0.001749  43118
1    Q2    -0.000001    0.001568  43118
2    Q3     0.000010    0.001671  43118
3    Q4    -0.000000    0.001457  43118
4    Q5    -0.000005    0.001186  43118",ema_20,1
-0.009749454275417376,-0.013023115698616418,-4.526997119017397,215587,"  group  mean_return  std_return  count
0    Q1     0.000085    0.003407  43118
1    Q2    -0.000007    0.003062  43117
2    Q3     0.000040    0.003333  43117
3    Q4    -0.000000    0.002827  43117
4    Q5    -0.000021    0.002255  43118",ema_20,4
-0.013842038957773951,-0.01587455748602198,-6.427571525131516,215583,"  group  mean_return  std_return  count
0    Q1     0.000171    0.004811  43117
1    Q2    -0.000012    0.004302  43116
2    Q3     0.000076    0.004703  43117
3    Q4     0.000001    0.003940  43116
4    Q5    -0.000042    0.003157  43117",ema_20,8
-0.0070810447887085255,-0.028066997119782305,-3.2877696584869174,215571,"  group  mean_return  std_return  count
0    Q1     0.000015    0.002162  43115
1    Q2    -0.000001    0.001163  43114
2    Q3     0.000010    0.001050  43114
3    Q4     0.000009    0.001172  43114
4    Q5    -0.000009    0.001826  43114",ma_cross_5_20,1
-0.01041456278807127,-0.0394728690238434,-4.835648535215432,215568,"  group  mean_return  std_return  count
0    Q1     0.000046    0.004090  43114
1    Q2     0.000019    0.002379  43113
2    Q3     0.000021    0.002126  43114
3    Q4     0.000024    0.002424  43113
4    Q5    -0.000013    0.003521  43114",ma_cross_5_20,4
-0.013410530913687985,-0.042122664099360635,-6.226889078532545,215564,"  group  mean_return  std_return  count
0    Q1     0.000079    0.005520  43113
1    Q2     0.000055    0.003381  43113
2    Q3     0.000056    0.003111  43112
3    Q4     0.000014    0.003538  43113
4    Q5    -0.000011    0.005018  43113",ma_cross_5_20,8
-0.01614552145756957,-0.037148840116793,-7.497247404695402,215571,"  group  mean_return  std_return  count
0    Q1     0.000014    0.002176  43115
1    Q2     0.000001    0.001135  43114
2    Q3     0.000008    0.001024  43114
3    Q4     0.000002    0.001129  43114
4    Q5    -0.000000    0.001869  43114",price_to_sma_20,1
-0.01563406081179049,-0.04891747901771984,-7.259638763160327,215568,"  group  mean_return  std_return  count
0    Q1     0.000055    0.004124  43114
1    Q2     0.000021    0.002315  43113
2    Q3     0.000016    0.002113  43114
3    Q4     0.000009    0.002365  43113
4    Q5    -0.000003    0.003571  43114",price_to_sma_20,4
-0.017273239858049703,-0.05009040779454946,-8.020929602369646,215564,"  group  mean_return  std_return  count
0    Q1     0.000081    0.005589  43113
1    Q2     0.000061    0.003337  43113
2    Q3     0.000045    0.003045  43112
3    Q4    -0.000003    0.003494  43113
4    Q5     0.000009    0.005043  43113",price_to_sma_20,8
-0.0070810447887085255,-0.028066997119782305,-3.2877696584869174,215571,"  group  mean_return  std_return  count
0    Q1     0.000015    0.002162  43115
1    Q2    -0.000001    0.001163  43114
2    Q3     0.000010    0.001050  43114
3    Q4     0.000009    0.001172  43114
4    Q5    -0.000009    0.001826  43114",sma_distance_5_20,1
-0.01041456278807127,-0.0394728690238434,-4.835648535215432,215568,"  group  mean_return  std_return  count
0    Q1     0.000046    0.004090  43114
1    Q2     0.000019    0.002379  43113
2    Q3     0.000021    0.002126  43114
3    Q4     0.000024    0.002424  43113
4    Q5    -0.000013    0.003521  43114",sma_distance_5_20,4
-0.013410530913687985,-0.042122664099360635,-6.226889078532545,215564,"  group  mean_return  std_return  count
0    Q1     0.000079    0.005520  43113
1    Q2     0.000055    0.003381  43113
2    Q3     0.000056    0.003111  43112
3    Q4     0.000014    0.003538  43113
4    Q5    -0.000011    0.005018  43113",sma_distance_5_20,8
-0.004695439191965643,-0.03170167698102796,-2.1801190284656724,215577,"  group  mean_return  std_return  count
0    Q1     0.000015    0.001926  43116
1    Q2     0.000003    0.001402  43115
2    Q3     0.000009    0.001332  43115
3    Q4     0.000006    0.001337  43115
4    Q5    -0.000008    0.001613  43116",rsi_14,1
-0.005264459674045472,-0.041036669341663855,-2.444308381872398,215574,"  group  mean_return  std_return  count
0    Q1     0.000049    0.003593  43115
1    Q2     0.000010    0.002822  43115
2    Q3     0.000033    0.002760  43114
3    Q4     0.000010    0.002655  43115
4    Q5    -0.000005    0.003104  43115",rsi_14,4
-0.004670145745882749,-0.041681522825503164,-2.1683396760020326,215570,"  group  mean_return  std_return  count
0    Q1     0.000085    0.004789  43114
1    Q2     0.000029    0.004047  43114
2    Q3     0.000062    0.003960  43114
3    Q4     0.000009    0.003879  43114
4    Q5     0.000008    0.004386  43114",rsi_14,8
-0.011537777146221156,-0.02841765881136661,-5.357514395812071,215590,"  group  mean_return  std_return  count
0    Q1     0.000014    0.002061  43118
1    Q2     0.000013    0.001228  43118
2    Q3     0.000003    0.001096  43118
3    Q4    -0.000000    0.001215  43118
4    Q5    -0.000005    0.001845  43118",macd_12_26_9,1
-0.013917619490286862,-0.034068835850637275,-6.462734195161599,215587,"  group  mean_return  std_return  count
0    Q1     0.000046    0.003906  43118
1    Q2     0.000030    0.002534  43117
2    Q3     0.000012    0.002241  43117
3    Q4     0.000017    0.002445  43117
4    Q5    -0.000008    0.003536  43118",macd_12_26_9,4
-0.017346935251703725,-0.032463439900732145,-8.055515756703322,215583,"  group  mean_return  std_return  count
0    Q1     0.000092    0.005370  43117
1    Q2     0.000054    0.003525  43116
2    Q3     0.000036    0.003225  43117
3    Q4     0.000037    0.003459  43116
4    Q5    -0.000024    0.005065  43117",macd_12_26_9,8
-0.013445595950880298,-0.03426417970159356,-6.243376440839814,215578,"  group  mean_return  std_return  count
0    Q1     0.000015    0.002166  43116
1    Q2     0.000006    0.001131  43115
2    Q3     0.000005    0.001034  43116
3    Q4     0.000005    0.001158  43115
4    Q5    -0.000008    0.001860  43116",roc_12,1
-0.013440974271563927,-0.04256283614018402,-6.241186578510455,215575,"  group  mean_return  std_return  count
0    Q1     0.000056    0.004092  43115
1    Q2     0.000008    0.002356  43115
2    Q3     0.000026    0.002144  43115
3    Q4     0.000027    0.002327  43115
4    Q5    -0.000019    0.003588  43115",roc_12,4
-0.01564156381273743,-0.043402280231487324,-7.263174155838212,215571,"  group  mean_return  std_return  count
0    Q1     0.000086    0.005561  43115
1    Q2     0.000048    0.003397  43114
2    Q3     0.000041    0.003135  43114
3    Q4     0.000035    0.003379  43114
4    Q5    -0.000016    0.005057  43114",roc_12,8
-0.002543185314619528,-0.01971716436150124,-1.1807650751806986,215562,"  group  mean_return  std_return  count
0    Q1     0.000011    0.001636  43113
1    Q2     0.000005    0.001552  43112
2    Q3     0.000006    0.001471  43112
3    Q4     0.000005    0.001454  43112
4    Q5    -0.000002    0.001574  43113",stoch_rsi_14,1
-0.0030034360765813033,-0.022295831172653626,-1.3944450894757572,215559,"  group  mean_return  std_return  count
0    Q1     0.000029    0.003135  43112
1    Q2     0.000015    0.003070  43112
2    Q3     0.000037    0.002884  43111
3    Q4     0.000016    0.002964  43112
4    Q5    -0.000000    0.002971  43112",stoch_rsi_14,4
-0.005491622860098365,-0.02264867252202569,-2.5496718483281486,215555,"  group  mean_return  std_return  count
0    Q1     0.000050    0.004330  43111
1    Q2     0.000051    0.004258  43111
2    Q3     0.000070    0.004080  43111
3    Q4     0.000040    0.004218  43112
4    Q5    -0.000017    0.004239  43110",stoch_rsi_14,8
-0.0052038123498959156,-0.03687687562375779,-2.4161656467580825,215577,"  group  mean_return  std_return  count
0    Q1     0.000024    0.001734  43116
1    Q2    -0.000006    0.001559  43115
2    Q3     0.000005    0.001382  43115
3    Q4    -0.000000    0.001402  43115
4    Q5     0.000002    0.001590  43116",williams_r_14,1
-0.009029981457747853,-0.04701404796604414,-4.192767121049886,215574,"  group  mean_return  std_return  count
0    Q1     0.000076    0.003309  43115
1    Q2     0.000008    0.003011  43115
2    Q3     0.000005    0.002844  43114
3    Q4     0.000016    0.002824  43115
4    Q5    -0.000008    0.003016  43115",williams_r_14,4
-0.00982730650999105,-0.046349552057151806,-4.56297007078435,215570,"  group  mean_return  std_return  count
0    Q1     0.000118    0.004555  43114
1    Q2     0.000039    0.004192  43114
2    Q3     0.000022    0.004024  43114
3    Q4     0.000024    0.004099  43114
4    Q5    -0.000010    0.004238  43114",williams_r_14,8
0.006395049759686182,-8.198136791037056e-05,2.9692858332297427,215577,"  group  mean_return  std_return  count
0    Q1     0.000009    0.000725  43117
1    Q2     0.000003    0.000991  43114
2    Q3     0.000012    0.001213  43115
3    Q4    -0.000004    0.001548  43115
4    Q5     0.000005    0.002542  43116",atr_14,1
0.010606570847131444,0.004891715808140741,4.924879433835688,215574,"  group  mean_return  std_return  count
0    Q1     0.000037    0.001488  43119
1    Q2     0.000010    0.002002  43111
2    Q3     0.000034    0.002470  43114
3    Q4    -0.000014    0.003064  43116
4    Q5     0.000031    0.004844  43114",atr_14,4
0.012990021156485653,0.0077038934132333285,6.031684951499103,215570,"  group  mean_return  std_return  count
0    Q1     0.000073    0.002137  43115
1    Q2     0.000028    0.002904  43114
2    Q3     0.000037    0.003581  43113
3    Q4     0.000003    0.004338  43114
4    Q5     0.000052    0.006682  43114",atr_14,8
0.011935524556301645,0.0020352627259939225,5.5419882475860005,215571,"  group  mean_return  std_return  count
0    Q1     0.000002    0.000698  43115
1    Q2    -0.000001    0.000993  43114
2    Q3     0.000014    0.001222  43114
3    Q4     0.000004    0.001535  43114
4    Q5     0.000005    0.002553  43114",bb_width_20,1
0.020259006763511216,0.007585602050064156,9.408002463438816,215568,"  group  mean_return  std_return  count
0    Q1     0.000011    0.001427  43114
1    Q2     0.000012    0.002038  43113
2    Q3     0.000037    0.002499  43114
3    Q4    -0.000009    0.003140  43113
4    Q5     0.000046    0.004784  43114",bb_width_20,4
0.02449170965557653,0.009870052836206813,11.374583364749776,215564,"  group  mean_return  std_return  count
0    Q1     0.000040    0.002071  43113
1    Q2     0.000026    0.002975  43113
2    Q3     0.000048    0.003573  43112
3    Q4    -0.000032    0.004549  43113
4    Q5     0.000112    0.006533  43113",bb_width_20,8
-0.006005263253161157,-0.03688106665168674,-2.788258501541783,215571,"  group  mean_return  std_return  count
0    Q1     0.000018    0.001916  43115
1    Q2    -0.000006    0.001424  43114
2    Q3     0.000008    0.001309  43114
3    Q4     0.000012    0.001324  43114
4    Q5    -0.000007    0.001635  43114",bb_position_20,1
-0.008181441885829852,-0.04829835120123658,-3.798695802465577,215568,"  group  mean_return  std_return  count
0    Q1     0.000063    0.003558  43114
1    Q2     0.000005    0.002901  43113
2    Q3     0.000018    0.002693  43114
3    Q4     0.000023    0.002688  43113
4    Q5    -0.000012    0.003101  43114",bb_position_20,4
-0.007889998492934407,-0.048269840847126703,-3.6633342023032425,215564,"  group  mean_return  std_return  count
0    Q1     0.000108    0.004763  43113
1    Q2     0.000011    0.004165  43113
2    Q3     0.000053    0.003880  43112
3    Q4     0.000023    0.003931  43113
4    Q5    -0.000002    0.004330  43113",bb_position_20,8
0.0101967716110409,0.003999222414800672,4.734656729514778,215581,"  group  mean_return  std_return  count
0    Q1     0.000006    0.000622  43117
1    Q2     0.000006    0.000911  43116
2    Q3    -0.000003    0.001157  43116
3    Q4     0.000004    0.001507  43116
4    Q5     0.000012    0.002648  43116",keltner_width_20,1
0.016014141493338793,0.010679655842142833,7.43634553265841,215578,"  group  mean_return  std_return  count
0    Q1     0.000024    0.001265  43116
1    Q2     0.000023    0.001860  43115
2    Q3    -0.000016    0.002336  43116
3    Q4     0.000021    0.003068  43115
4    Q5     0.000046    0.005024  43116",keltner_width_20,4
0.020176328550366978,0.013693718238719775,9.369722571140057,215574,"  group  mean_return  std_return  count
0    Q1     0.000051    0.001797  43115
1    Q2     0.000020    0.002711  43115
2    Q3    -0.000006    0.003350  43114
3    Q4     0.000063    0.004453  43115
4    Q5     0.000065    0.006903  43115",keltner_width_20,8
0.012879742495692558,0.004432889082585327,5.980470487369976,215570,"  group  mean_return  std_return  count
0    Q1     0.000004    0.000663  43114
1    Q2    -0.000000    0.000949  43114
2    Q3     0.000004    0.001191  43114
3    Q4     0.000012    0.001532  43114
4    Q5     0.000005    0.002595  43114",hist_vol_20,1
0.01990378178241838,0.011346811692556318,9.242953496984928,215567,"  group  mean_return  std_return  count
0    Q1     0.000013    0.001330  43114
1    Q2     0.000001    0.001948  43113
2    Q3     0.000007    0.002408  43113
3    Q4     0.000056    0.003088  43113
4    Q5     0.000021    0.004928  43114",hist_vol_20,4
0.024276211479449052,0.01578915135307014,11.274415008076366,215563,"  group  mean_return  std_return  count
0    Q1     0.000023    0.001900  43113
1    Q2    -0.000004    0.002828  43112
2    Q3     0.000008    0.003451  43113
3    Q4     0.000138    0.004364  43112
4    Q5     0.000028    0.006835  43113",hist_vol_20,8
-9.846415310651584e-05,0.001003684591213766,-0.045718339020143946,215590,"  group  mean_return  std_return  count
0    Q1     0.000009    0.001590  43118
1    Q2     0.000003    0.001621  43118
2    Q3     0.000007    0.001131  43118
3    Q4    -0.000000    0.001582  43118
4    Q5     0.000006    0.001703  43118",obv,1
2.2984463863553643e-05,-0.0002793692937544814,0.010671946712262154,215587,"  group  mean_return  std_return  count
0    Q1     0.000036    0.003122  43118
1    Q2     0.000011    0.003166  43117
2    Q3     0.000027    0.002225  43117
3    Q4    -0.000001    0.003022  43117
4    Q5     0.000025    0.003364  43118",obv,4
